2388,dictionary

Machiavellian
OK
Spartan
Victorian
abatis
abbreviation
abhorrent
abiding
ablaze
aboveboard
abridgement
abridgment
abruptly
absorbing
abstract
absurdity
absurdness
abuse
abusive
accelerate
accelerated
accent
accentuation
accept
acceptable
access
accidental
acclaim
acerb
acerbic
acid
acidic
acidulous
acquisitiveness
acrid
acrimonious
activating
actuate
adaptable
addendum
adequate
admonish
advance
advantageous
adventuresome
adventurous
affected
affectionate
affectless
afflict
afraid
aggrieve
aggrieved
agitated
agleam
aglitter
agonized
agree
agreeable
aimless
alight
alleged
alluring
aloof
altercate
altruism
amazing
ambiguous
ambivalent
amplification
amusing
analyze
anguished
animate
animated
animating
annoying
anticipated
anxious
apace
appalled
appetite
applaud
applesauce
apprehensive
approach
appropriate
approve
approved
arbitrary
argue
argufy
arid
aristocratic
aroused
arrangement
arrest
arresting
artful
artless
aseptic
asininity
assent
astonishing
astounding
astute
atrocious
attend
attracting
attractive
audacious
august
auspicious
austere
autogiro
autogyro
avalanche
avarice
avariciousness
aviate
avidity
avidness
awesome
awful
babe
babel
backbeat
backhanded
bad
balderdash
balk
baloney
bang
banner
barbarous
barbed
barnyard
baronial
barren
batter
bawdy
beaming
beamy
beans
beat
beau
beautiful
beauty
becloud
beclouded
becoming
bedazzling
bee
beefcake
befog
befogged
beguiling
belatedly
belittle
belly
beneficial
benevolent
benign
benignant
berate
bestial
better
bewitching
bicker
bilge
bird
birdbrain
birdbrained
biting
bitter
black
blade
blah
blamable
blameworthy
blank
blare
blarney
blast
blather
blatherskite
bleak
blemish
bless
blissful
blistering
blithe
blither
blithesome
block
bloody
bloom
blossom
blow
blue
blur
bluster
boffo
bold
boloney
bonnie
bonny
boom
boon
boorish
boring
bosh
boss
bothersome
bottom
bouncing
bounteousness
bountifulness
bounty
bouquet
bourgeon
boutonniere
bowwow
brabble
brag
brainstorm
brash
brave
brawl
brazen
breaking
breakneck
breathless
breathtaking
breviary
brief
bright
brightened
brilliant
brisk
briskly
broaching
broad
brokenhearted
bruise
bruit
brutal
brutish
buck
bud
bull
bully
bumper
buncombe
bunk
bunkum
buoyant
buoyed
burgeon
busying
cacophony
cadence
cagey
cagy
cake
calamitous
calculating
caliginous
callous
callow
calm
candid
canopied
capital
caprice
capricious
capriciousness
capsule
captivating
carefree
careful
careless
cartoon
castigate
catapult
catastrophic
caustic
cautious
cavalier
cavil
cease
celibate
censurable
censure
certain
challenge
chance
changeable
changeful
changeless
characterless
charge
charitable
charity
charming
chaste
chastise
chatter
check
cheerful
cheerless
cheery
cheesy
chic
chicken
chickenhearted
childlike
chime
chipper
choice
chopper
circuitous
circular
cite
clamor
clandestine
clangor
clap
claptrap
clarify
clash
classic
classical
classy
clatter
clean
clear
clement
clot
clotheshorse
cloud
clouded
cloudy
clump
cluster
coagulate
coarse
coast
codswallop
coexist
cofeature
coincidental
cold
colorless
come
comforted
comfortless
commend
commercialism
common
commonplace
commotion
communicable
compassionate
compassionless
compend
compendium
complacence
complacency
complicate
concealed
conceit
conceitedness
conceivable
concept
conception
concerned
conclusion
concrete
concupiscent
concur
condemn
condensation
condense
confuse
congeal
consent
conservative
consider
conspectus
constant
constellation
contend
content
contentment
contest
controversy
controvert
contuse
convenient
convertaplane
convertiplane
cool
copter
cordial
corking
correct
corrosive
corrupt
corsage
courageous
court
courtly
covered
covert
covetousness
coward
cowardly
coxcomb
crack
crackerjack
cracking
crafty
cram
cramp
crank
crapola
crash
craven
craving
crawl
crawling
craziness
crazy
crease
creep
crepuscular
crestfallen
cripple
criticize
crock
crooked
cross
crude
cruel
cruise
cuckoo
cumbersome
cunning
cupidity
curd
curdle
cure
curtailment
cut
cute
cutey
cutie
cutting
cynical
daffy
daft
dallying
damage
dance
dandy
dare
daredevil
daring
dark
darkened
darkening
darkish
darkling
darksome
dart
dash
dasher
dashing
dastardly
date
dauntless
dawdling
dazzling
debased
debasing
debatable
debate
debauched
debilitating
decadent
decay
deceitful
decent
deceptive
decipher
decisive
decline
decode
decorous
defeatist
definable
definitive
defy
degenerate
degraded
dehydrate
dejected
dejecting
delay
deliberate
deliberately
delighted
delinquently
deliquesce
deluge
deluged
demoralized
demoralizing
denounce
dependable
depraved
deprecate
depreciate
depressed
depressing
deprive
derisive
desensitized
designing
desirable
desire
desolate
despairing
despondent
dessicated
desultory
detachment
detain
determined
devious
dicey
die
diet
diffident
digest
dignified
dilatory
dillydallying
dim
dimmed
din
diplomatic
direct
dirty
disabling
disagreeable
disappointed
disarrange
disarray
disastrous
discernment
discompose
disconcerted
disconnected
disconsolate
discord
discordance
discordant
discouraged
discouraging
discuss
disentangle
disgusting
dish
disheartened
disheartening
dishevel
dishonest
disinterestedness
dismal
dismayed
disorder
disparage
dispirited
dispiriting
disputable
dispute
disquieted
disrupt
dissipated
dissolute
dissonance
dissonant
distasteful
distressed
distrustful
disturb
disturbed
ditsy
ditz
ditzy
dive
diverting
divest
divine
dizzy
do
docudrama
documentary
dodgy
dog
doleful
doll
dolorous
dope
doubtable
doubtful
doughty
dour
douse
dowdy
down
downcast
downfall
downhearted
dowse
drab
dragging
drain
draining
dreamboat
drear
dreary
drench
drift
drilling
drive
drivel
drool
droopy
drop
drown
drudging
drum
dry
dubious
dubitable
dude
dulcet
dull
dulled
dullish
durable
dusk
dusky
dusty
dwarf
dynamite
earnest
earthbound
earthy
easy
easygoing
eccentric
echo
ecstatic
edge
effloresce
effulgent
eggbeater
ego
egocentricity
egocentrism
egoism
egomania
egotism
egress
elated
electrifying
elegant
elegiac
elegiacal
eliminate
emboldened
emphasis
emptiness
empty
encapsulate
encapsulation
enchanting
encouraged
